schema	state_id	game	source_trace_artifact	source_trace_sha256	review_step_index	global_step_before	global_step_after	round_index	round_step_index	action_value	action_name	x_before	y_before	z_before	x_after	y_after	z_after	shape_before	color_before	rotation_before	shape_after	color_after	rotation_after	goals_completed_after	goal_count	steps_remaining_after	lives_after	transition_reason	round_completed_after_step	win_after_step	state_after_sha256
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	0	0	1	0	0	3	ACTION3	34	45	0	29	45	0	5	1	3	5	1	3	0	1	41	3	ok	false	false	973028342c41bd483a3b33739c41701633e66fa0351c94b5c3caa31610025752
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	1	1	2	0	1	3	ACTION3	29	45	0	24	45	0	5	1	3	5	1	3	0	1	40	3	ok	false	false	c4ce8c01258143c0b4dee1d4ce132c89ad7b100fee198c6de4dfbc0eb4a921ed
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	2	2	3	0	2	3	ACTION3	24	45	0	19	45	0	5	1	3	5	1	3	0	1	39	3	ok	false	false	73890159120bd1c5fc361a8e3486efed8472db597cc9062521cbfee121842ed0
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	3	3	4	0	3	1	ACTION1	19	45	0	19	40	0	5	1	3	5	1	3	0	1	38	3	ok	false	false	27d12385998004fa35b709f9c6de53e9ebda57a080d8aa759d1b5401b86334e9
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	4	4	5	0	4	1	ACTION1	19	40	0	19	35	0	5	1	3	5	1	3	0	1	37	3	ok	false	false	f92c1b7834cee3b0f62235bdd7cb3ba73811464878f53efb2a231398783a6b09
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	5	5	6	0	5	1	ACTION1	19	35	0	19	30	0	5	1	3	5	1	0	0	1	37	3	attribute_hint	false	false	5cafa1377759a987a58bf35dd78a095ddce96fe810b03e6595632acb4e06d62c
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	6	6	7	0	6	1	ACTION1	19	30	0	19	25	0	5	1	0	5	1	0	0	1	36	3	ok	false	false	3d448b57aaf983b44b9ed7af87092975df8c8369f9179c0865cd0a8f9d90dead
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	7	7	8	0	7	4	ACTION4	19	25	0	24	25	0	5	1	0	5	1	0	0	1	35	3	ok	false	false	6e8ff9b011ad5f4f468b193bdfde465b6d7428c1cfa19a441b944c91828169f7
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	8	8	9	0	8	4	ACTION4	24	25	0	29	25	0	5	1	0	5	1	0	0	1	34	3	ok	false	false	c9051649024f7551f1aa67701de53cc2fc00f652f22908843dba84c33129207e
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	9	9	10	0	9	4	ACTION4	29	25	0	34	25	0	5	1	0	5	1	0	0	1	33	3	ok	false	false	237500f49011cfc3475560dde2b755dd25c2fe5919f2e8051294bea261a903fd
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	10	10	11	0	10	1	ACTION1	34	25	0	34	20	0	5	1	0	5	1	0	0	1	32	3	ok	false	false	b4f462e4a12f7f8498765b34cf9aef472258508817bab3ebb86ea073f996ad2e
